set_no,name,price_store,price_used,popularity,group,year,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
6305-1,Trees and Flowers,3.75,10.0,17.2,Modern day,1980.0,24,6,4,Green,Red
6306-1,Road Signs,2.5,13.0,12.0,Modern day,1980.0,12,10,1,White,White
6375-2,Exxon Gas Station,20.0,73.0,24.0,Modern day,1980.0,272,95,12,White,Red
6390-1,Main Street,40.0,250.0,23.0,Modern day,1980.0,614,156,11,Red,White
6077-1,Knight's Procession,5.0,43.0,4.0,Historical,1981.0,49,21,6,Gray,Black
6083-1,Knight's Joust,16.0,195.0,,Historical,1981.0,210,76,8,White,Black
6382-1,Fire Station,25.0,53.0,47.0,Modern day,1981.0,396,99,11,Red,Black
6383-1,Public Works Center,30.0,266.0,30.0,Modern day,1981.0,420,106,12,Yellow,Blue
4005-1,Tug Boat,10.0,23.0,35.2,Modern day,1982.0,66,44,11,White,Black
7824-1,Railway Station,44.75,89.0,21.0,Modern day,1983.0,478,130,10,Black,Red
6010-1,Supply Wagon,3.0,9.0,52.800000000000004,Historical,1984.0,36,26,8,Black,Red
6021-1,Jousting Knights,5.25,16.0,20.0,Historical,1984.0,41,30,8,Black,Blue
6022-1,Horse Cart,5.0,14.0,19.799999999999997,Historical,1984.0,43,30,7,Black,Red
6030-1,Catapult,6.0,18.0,32.0,Historical,1984.0,84,32,8,Black,Gray
6040-1,Blacksmith Shop,9.25,30.0,35.2,Historical,1984.0,93,50,8,Gray,Red
6061-1,Siege Tower,17.5,44.0,25.799999999999997,Historical,1984.0,220,76,9,Black,Gray
6073-1,Knight's Castle,27.0,100.0,52.800000000000004,Historical,1984.0,420,112,9,Gray,Black
6080-1,King's Castle,52.75,158.0,73.5,Historical,1984.0,687,115,9,Gray,Black
6373-1,Motorcycle Shop,17.5,50.0,39.2,Modern day,1984.0,190,79,12,Yellow,Red
6391-1,Cargo Center,43.0,178.0,5.0,Modern day,1984.0,567,143,12,Blue,Black
6684-1,Police Patrol Squad,6.5,11.0,24.0,Modern day,1984.0,81,44,10,Black,White
