set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,price_store,price_new,price_used,rating_value,rating_votes
1591-1,Danone Delivery Truck,Modern day,Town,Special,1980.0,40.0,0.0,,129.0,28.0,,
1592-1,Town Square - Castle Scene,Modern day,Town,Classic,1980.0,471.0,11.0,,1168.0,235.0,4.8,4.0
1651-2,Maersk Line Container Lorry,Modern day,Town,Special,1980.0,305.0,1.0,,,444.0,5.0,1.0
6305-1,Trees and Flowers,Modern day,Town,Accessories,1980.0,12.0,0.0,3.75,28.0,10.0,4.3,4.0
6306-1,Road Signs,Modern day,Town,Accessories,1980.0,12.0,0.0,2.5,49.0,13.0,4.0,3.0
6363-1,Auto Repair Shop,Modern day,Town,Shops and Services,1980.0,141.0,1.0,,744.0,30.0,4.6,5.0
6364-1,Paramedic Unit,Modern day,Town,Medical,1980.0,137.0,2.0,,272.0,35.0,5.0,5.0
6375-2,Exxon Gas Station,Modern day,Town,Shops and Services,1980.0,267.0,3.0,20.0,,73.0,4.8,5.0
6390-1,Main Street,Modern day,Town,Shops and Services,1980.0,591.0,8.0,40.0,,250.0,4.6,5.0
6609-1,Race Car,Modern day,Town,Racing,1980.0,17.0,1.0,,33.0,3.0,4.3,3.0
6627-1,Convertible,Modern day,Town,Vehicles,1980.0,37.0,1.0,,88.0,6.0,5.0,7.0
6647-1,Highway Repair,Modern day,Town,Maintenance,1980.0,55.0,1.0,,167.0,7.0,4.0,1.0
6648-2,Dump Truck,Modern day,Town,Construction,1980.0,42.0,1.0,,149.0,11.0,4.0,2.0
6678-1,Pneumatic Crane,Modern day,Town,Construction,1980.0,60.0,1.0,,88.0,11.0,5.0,2.0
6679-2,Exxon Tow Truck,Modern day,Town,Vehicles,1980.0,79.0,1.0,,,18.0,4.5,2.0
6690-1,Snorkel Pumper,Modern day,Town,Fire,1980.0,91.0,2.0,,163.0,12.0,4.5,2.0
7858-1,Remote Controlled Points Right 12 V,Modern day,Trains,4.5/12 V,1980.0,12.0,0.0,,73.0,40.0,,
6077-1,Knight's Procession,Historical,Castle,Classic,1981.0,48.0,6.0,5.0,,43.0,4.0,1.0
6083-1,Knight's Joust,Historical,Castle,Classic,1981.0,211.0,6.0,16.0,,195.0,,
6365-1,Summer Cottage,Modern day,Town,Leisure,1981.0,144.0,1.0,,211.0,32.0,4.7,6.0
6382-1,Fire Station,Modern day,Town,Fire,1981.0,390.0,4.0,25.0,417.0,53.0,4.7,10.0
6383-1,Public Works Center,Modern day,Town,Maintenance,1981.0,421.0,4.0,30.0,799.0,266.0,5.0,6.0
6600-1,Police Patrol,Modern day,Town,Classic,1981.0,23.0,1.0,,,20.0,3.5,2.0
6602-1,Fire Unit I,Modern day,Town,Classic,1981.0,29.0,1.0,,,6.0,2.0,1.0
6610-1,Gas Pumps,Modern day,Town,Shops and Services,1981.0,29.0,1.0,,84.0,8.0,4.3,3.0
6611-1,Fire Chief's Car,Modern day,Town,Fire,1981.0,20.0,1.0,,88.0,3.0,4.0,3.0
6626-1,Rescue Helicopter,Modern day,Town,Classic,1981.0,37.0,0.0,,,14.0,,
6628-1,Shell Tow Truck,Modern day,Town,Vehicles,1981.0,38.0,0.0,,53.0,5.0,3.8,5.0
6629-1,Ambulance,Modern day,Town,Medical,1981.0,39.0,1.0,,110.0,5.0,4.0,2.0
6630-1,Bucket Loader,Modern day,Town,Construction,1981.0,34.0,1.0,,125.0,5.0,4.3,3.0
6650-1,Fire and Rescue Van,Modern day,Town,Fire,1981.0,46.0,1.0,,127.0,7.0,4.0,2.0
6680-1,Ambulance,Modern day,Town,Medical,1981.0,63.0,2.0,,148.0,13.0,5.0,2.0
6681-1,Police Van,Modern day,Town,Police,1981.0,82.0,1.0,,500.0,9.0,4.7,3.0
6691-1,Red Cross Helicopter,Modern day,Town,Medical,1981.0,107.0,2.0,,78.0,13.0,4.3,3.0
6870-1,Space Probe Launcher,Action/Adventure,Space,Classic,1981.0,60.0,1.0,,112.0,10.0,3.3,6.0
1590-2,Breakdown Assistance,Modern day,Town,Special,1982.0,233.0,4.0,,,166.0,4.0,1.0
4005-1,Tug Boat,Modern day,Boats,,1982.0,66.0,1.0,10.0,,23.0,4.4,8.0
4015-1,Freighter,Modern day,Boats,,1982.0,80.0,2.0,,,63.0,4.0,7.0
4025-1,Fire Boat,Modern day,Boats,,1982.0,150.0,3.0,,275.0,26.0,4.5,2.0
6302-1,Mini-Figure Set,Modern day,Town,Accessories,1982.0,25.0,6.0,,77.0,30.0,5.0,2.0
6308-1,Policemen,Modern day,Town,Accessories,1982.0,20.0,4.0,,,6.0,,
6362-1,Post Office,Modern day,Town,Postal,1982.0,133.0,1.0,,329.0,38.0,4.7,10.0
6372-1,Town House,Modern day,Town,Leisure,1982.0,217.0,2.0,,784.0,57.0,4.8,4.0
6607-1,Service Truck,Modern day,Town,Maintenance,1982.0,25.0,1.0,,66.0,4.0,4.0,5.0
6608-1,Tractor,Modern day,Town,Maintenance,1982.0,21.0,1.0,,68.0,3.0,3.5,4.0
6651-1,Mail Truck,Modern day,Town,Postal,1982.0,47.0,1.0,,167.0,12.0,4.2,5.0
6653-1,Highway Maintenance Truck,Modern day,Town,Maintenance,1982.0,56.0,1.0,,36.0,11.0,4.5,4.0
6685-1,Fire Copter 1,Modern day,Town,Fire,1982.0,99.0,1.0,,268.0,10.0,4.9,7.0
6371-1,Shell Service Station,Modern day,Town,Shops and Services,1983.0,261.0,3.0,,655.0,89.0,4.0,2.0
6374-1,Holiday Home,Modern day,Town,Leisure,1983.0,257.0,2.0,,,63.0,5.0,4.0
6384-1,Police Station,Modern day,Town,Police,1983.0,389.0,4.0,,325.0,52.0,4.4,7.0
6606-1,Road Repair Set,Modern day,Town,Maintenance,1983.0,27.0,1.0,,27.0,4.0,4.0,2.0
6623-1,Police Car,Modern day,Town,Police,1983.0,39.0,1.0,,28.0,7.0,4.3,6.0
6624-1,Delivery Van,Modern day,Town,Vehicles,1983.0,41.0,1.0,,67.0,8.0,4.5,6.0
6652-1,Construction Truck,Modern day,Town,Construction,1983.0,44.0,1.0,,111.0,4.0,4.0,3.0
6654-1,Motorcycle Transport,Modern day,Town,Vehicles,1983.0,50.0,1.0,,139.0,8.0,4.2,5.0
6683-1,Hamburger Stand,Modern day,Town,Shops and Services,1983.0,69.0,2.0,,305.0,30.0,5.0,7.0
6692-1,Tractor Trailer,Modern day,Town,Vehicles,1983.0,96.0,1.0,,249.0,16.0,4.5,4.0
7727-1,Freight Steam Train Set,Modern day,Trains,4.5/12 V,1983.0,570.0,2.0,,,533.0,5.0,1.0
7755-1,Diesel Heavy Shunting Locomotive,Modern day,Trains,4.5/12 V,1983.0,164.0,1.0,,588.0,166.0,3.8,4.0
7815-1,Passenger Carriage / Sleeper,Modern day,Trains,4.5/12 V,1983.0,228.0,2.0,,480.0,143.0,4.8,4.0
7819-1,Postal Container Wagon,Modern day,Trains,4.5/12 V,1983.0,183.0,1.0,,280.0,119.0,4.5,2.0
7821-1,Track & Lighting Maintenance Wagon,Modern day,Trains,4.5/12 V,1983.0,90.0,2.0,,159.0,36.0,4.5,2.0
7824-1,Railway Station,Modern day,Trains,4.5/12 V,1983.0,478.0,9.0,44.75,295.0,89.0,4.2,5.0
7838-1,Freight Loading Depot,Modern day,Trains,4.5/12 V,1983.0,315.0,3.0,,407.0,120.0,5.0,1.0
7866-1,Remote Controlled Road Crossing 12 V,Modern day,Trains,4.5/12 V,1983.0,191.0,1.0,,512.0,162.0,5.0,3.0
7867-1,4 Lighting Standards Electric 12 V,Modern day,Trains,4.5/12 V,1983.0,52.0,0.0,,78.0,45.0,4.0,1.0
105-1,Mail Van,Modern day,Town,Special,1984.0,65.0,1.0,,199.0,116.0,4.0,1.0
6010-1,Supply Wagon,Historical,Castle,Lion Knights,1984.0,35.0,1.0,3.0,167.0,9.0,4.4,12.0
6021-1,Jousting Knights,Historical,Castle,Lion Knights,1984.0,37.0,2.0,5.25,91.0,16.0,4.0,5.0
6022-1,Horse Cart,Historical,Castle,Lion Knights,1984.0,42.0,2.0,5.0,54.0,14.0,3.3,6.0
6030-1,Catapult,Historical,Castle,Black Falcons,1984.0,83.0,2.0,6.0,264.0,18.0,4.0,8.0
6040-1,Blacksmith Shop,Historical,Castle,Lion Knights,1984.0,92.0,2.0,9.25,261.0,30.0,4.4,8.0
6061-1,Siege Tower,Historical,Castle,Lion Knights,1984.0,216.0,4.0,17.5,333.0,44.0,4.3,6.0
6073-1,Knight's Castle,Historical,Castle,Black Falcons,1984.0,410.0,6.0,27.0,862.0,100.0,4.4,12.0
6080-1,King's Castle,Historical,Castle,Lion Knights,1984.0,674.0,12.0,52.75,2314.0,158.0,4.9,15.0
6103-2,Castle Figures,Historical,Castle,Accessories,1984.0,25.0,4.0,,90.0,27.0,,
6366-1,Fire & Rescue Squad,Modern day,Town,Fire,1984.0,112.0,3.0,,227.0,25.0,4.3,4.0
6367-1,Semi Truck,Modern day,Town,Vehicles,1984.0,155.0,1.0,,621.0,25.0,4.0,1.0
6373-1,Motorcycle Shop,Modern day,Town,Shops and Services,1984.0,171.0,2.0,17.5,1049.0,50.0,4.9,8.0
6391-1,Cargo Center,Modern day,Town,Shops and Services,1984.0,553.0,5.0,43.0,688.0,178.0,5.0,1.0
6605-1,Road Racer,Modern day,Town,Racing,1984.0,20.0,1.0,,30.0,3.0,3.0,1.0
6621-1,Fire Truck,Modern day,Town,Fire,1984.0,38.0,1.0,,175.0,6.0,2.5,2.0
6622-1,Mailman on Motorcycle,Modern day,Town,Postal,1984.0,26.0,2.0,,88.0,7.0,4.3,4.0
6655-1,Auto & Tire Repair,Modern day,Town,Shops and Services,1984.0,58.0,1.0,,79.0,9.0,4.3,6.0
6684-1,Police Patrol Squad,Modern day,Town,Police,1984.0,77.0,2.0,6.5,93.0,11.0,4.0,6.0
6686-1,Backhoe,Modern day,Town,Construction,1984.0,88.0,1.0,,284.0,12.0,5.0,1.0
6694-1,Car with Camper,Modern day,Town,Leisure,1984.0,109.0,2.0,,,14.0,5.0,1.0
6695-1,Tanker Truck,Modern day,Town,Vehicles,1984.0,106.0,1.0,,298.0,13.0,,
6696-1,Fuel Tanker,Modern day,Town,Vehicles,1984.0,106.0,1.0,,,43.0,3.8,4.0
106-1,UNICEF Van,Modern day,Town,Special,1985.0,59.0,1.0,,,1493.0,5.0,1.0
107-2,Mail Truck,Modern day,Town,Special,1985.0,31.0,1.0,,899.0,128.0,5.0,2.0
1552-1,Maersk Truck and Trailer Unit,Modern day,Town,Special,1985.0,352.0,1.0,,,320.0,5.0,1.0
1966-1,Car Repair Shop,Modern day,Town,Special,1985.0,296.0,2.0,,621.0,74.0,4.5,2.0
1968-1,(Unnamed),Action/Adventure,Space,Classic,1985.0,193.0,2.0,,,95.0,3.9,7.0
6011-1,Black Knight's Treasure,Historical,Castle,Black Falcons,1985.0,25.0,1.0,,177.0,15.0,3.8,6.0
6055-1,Prisoner Convoy,Historical,Castle,Lion Knights,1985.0,115.0,4.0,,280.0,36.0,4.2,6.0
6102-1,Castle Mini-Figures,Historical,Castle,Accessories,1985.0,36.0,6.0,5.5,85.0,61.0,4.6,5.0
6368-1,Jet Airliner,Modern day,Town,Flight,1985.0,136.0,2.0,12.75,307.0,33.0,4.4,8.0
6369-1,Auto Workshop,Modern day,Town,Shops and Services,1985.0,134.0,1.0,,398.0,33.0,5.0,6.0
6370-1,Weekend Home,Modern day,Town,Leisure,1985.0,177.0,2.0,,289.0,45.0,5.0,4.0
