set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging,inventory_id,number_parts,total_parts,1st_color,2nd_color
858-1,Auto Engines,/sets/858-1/Auto-Engines,Technical,Technic,,1980.0,242.0,0.0,,,,,51.0,4.5,2.0,,Normal,Box,4886,46,242,Blue,Light Gray
1591-1,Danone Delivery Truck,/sets/1591-1/Danone-Delivery-Truck,Modern day,Town,Special,1980.0,40.0,0.0,,,,129.0,28.0,,,"Delivery Truck, Truck",Normal,Box,11940,19,40,White,Blue
1592-1,Town Square - Castle Scene,/sets/1592-1/Town-Square-Castle-Scene,Modern day,Town,Classic,1980.0,471.0,11.0,,/minifigs/inset-1592-1,,1168.0,235.0,4.8,4.0,"Brick Built Animals, Car, Carriage, Castle, Convertible, Horse, Lamppost, Netherlands, Pedestrian Crossing, Road Baseplate, Shop, Statue, Store, Street Vendor, United Kingdom",Normal,Box,14106,133,495,Black,Yellow
1651-2,Maersk Line Container Lorry,/sets/1651-2/Maersk-Line-Container-Lorry,Modern day,Town,Special,1980.0,305.0,1.0,,/minifigs/inset-1651-2,,,444.0,5.0,1.0,"Articulated Lorry, Maersk, Trailer, Truck",Normal,Box,14402,66,305,Maersk Blue,Light Gray
3634-1,Charlie Crow's Carry-All,/sets/3634-1/Charlie-Crow-s-Carry-All,Junior,Fabuland,,1980.0,17.0,1.0,,/minifigs/inset-3634-1,,90.0,14.0,3.0,1.0,"Car, Pickup Truck",Normal,,10916,15,18,Yellow,Green
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,/sets/3665-1/Harry-Horse-and-Clara-Cow-s-Ice-Cream-Shoppe,Junior,Fabuland,,1980.0,36.0,2.0,,/minifigs/inset-3665-1,,,45.0,4.0,1.0,"Frozen Treats, Shop, Street Vendor",Normal,,9898,18,39,Yellow,Red
4306-1,Rings,/sets/4306-1/Rings,Girls,Scala,Jewellery,1980.0,15.0,0.0,,,,,,,,,Normal,,15317,14,15,White,Yellow
4336-1,Picture Frame and Mirror,/sets/4336-1/Picture-Frame-and-Mirror,Girls,Scala,Jewellery,1980.0,52.0,0.0,,,,,,,,,Normal,,13019,10,48,White,White
6304-1,"Road Plates, Cross",/sets/6304-1/Road-Plates-Cross,Modern day,Town,Accessories,1980.0,2.0,0.0,,,,22.0,11.0,4.0,1.0,"Baseplate, Pedestrian Crossing, Road Baseplate",Normal,Shrink-wrapped,9688,1,2,Light Gray,Light Gray
6305-1,Trees and Flowers,/sets/6305-1/Trees-and-Flowers,Modern day,Town,Accessories,1980.0,12.0,0.0,,,3.75,28.0,10.0,4.3,4.0,Accessory,Normal,Box,10996,6,24,Green,Red
6306-1,Road Signs,/sets/6306-1/Road-Signs,Modern day,Town,Accessories,1980.0,12.0,0.0,,,2.5,49.0,13.0,4.0,3.0,Accessory,Normal,Box,3460,10,12,White,White
6363-1,Auto Repair Shop,/sets/6363-1/Auto-Repair-Shop,Modern day,Town,Shops and Services,1980.0,141.0,1.0,,/minifigs/inset-6363-1,,744.0,30.0,4.6,5.0,"Baseplate, Service Station, Service Vehicle, Tow Truck",Normal,Box,9030,59,140,Blue,Black
6364-1,Paramedic Unit,/sets/6364-1/Paramedic-Unit,Modern day,Town,Medical,1980.0,137.0,2.0,,/minifigs/inset-6364-1,,272.0,35.0,5.0,5.0,"Ambulance, Baseplate, Convertible, Hospital, Medical",Normal,Box,7323,64,140,White,Red
6375-2,Exxon Gas Station,/sets/6375-2/Exxon-Gas-Station,Modern day,Town,Shops and Services,1980.0,267.0,3.0,,/minifigs/inset-6375-2,20.0,,73.0,4.8,5.0,"Car, Exxon, Pedestrian Crossing, Road Baseplate, Service Station, Shop",Normal,Box,13621,95,272,White,Red
