set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging
722-1,"Universal Building Set, 7+",/sets/722-1/Universal-Building-Set-7,Basic,Basic,,1980.0,301.0,0.0,,,20.0,200.0,78.0,4.4,5.0,"4X4, Aircraft, Articulated Lorry, Boat, Car, Crane, Helicopter, Steam Roller, Trailer, Truck",Normal,
733-1,"Universal Building Set, 7+",/sets/733-1/Universal-Building-Set-7,Basic,Basic,,1980.0,533.0,0.0,,,39.0,566.0,109.0,4.5,2.0,"Articulated Lorry, Base, Baseplate, Crane, Formula 1, Helicopter, Pickup Truck, Racing, Racing Car, Truck",Normal,
744-1,"Universal Building Set with Motor, 7+",/sets/744-1/Universal-Building-Set-with-Motor-7,Basic,Basic,,1980.0,537.0,0.0,,,59.0,252.0,97.0,5.0,2.0,"8 Wheel Vehicle, Crane, Electric Motor, Mobile Base, Mobile Crane, Truck, Windmill",Normal,
820-1,Red Plates Parts Pack,/sets/820-1/Red-Plates-Parts-Pack,Basic,Basic,Supplementaries,1980.0,34.0,0.0,,,4.75,,,,,,Normal,
822-1,Blue Plates Parts Pack,/sets/822-1/Blue-Plates-Parts-Pack,Basic,Basic,Supplementaries,1980.0,34.0,0.0,,,4.75,29.0,5.0,,,,Normal,
830-1,Red Bricks Parts Pack,/sets/830-1/Red-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,12.0,,,,,Normal,
831-1,Black Bricks Parts Pack,/sets/831-1/Black-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,7.0,,,,,Normal,
832-1,Blue Bricks Parts Pack,/sets/832-1/Blue-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,18.0,,,,,Normal,
833-1,White Bricks Parts Pack,/sets/833-1/White-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,11.0,,,,,Normal,
834-1,Yellow Bricks Parts Pack,/sets/834-1/Yellow-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,30.0,,,,,Normal,
836-1,Doors and Windows Parts Pack,/sets/836-1/Doors-and-Windows-Parts-Pack,Basic,Basic,Supplementaries,1980.0,37.0,0.0,,,4.75,14.0,,,,,Normal,
837-1,Wheels and Tyres Parts Pack,/sets/837-1/Wheels-and-Tyres-Parts-Pack,Basic,Basic,Supplementaries,1980.0,28.0,0.0,,,4.75,3.0,2.0,,,,Normal,
838-1,"Red Roof Bricks Parts Pack, 45°",/sets/838-1/Red-Roof-Bricks-Parts-Pack-45°,Basic,Basic,Supplementaries,1980.0,58.0,0.0,,,4.75,30.0,,4.0,1.0,,Normal,Box
839-1,"Red Roof Bricks Parts Pack, 33°",/sets/839-1/Red-Roof-Bricks-Parts-Pack-33°,Basic,Basic,Supplementaries,1980.0,42.0,0.0,,,4.75,12.0,,5.0,1.0,,Normal,Box
840-1,"Baseplate, Green",/sets/840-1/Baseplate-Green,Basic,Basic,Supplementaries,1980.0,1.0,0.0,,,,15.0,5.0,3.7,3.0,Baseplate,Normal,
841-1,"Baseplates, Green and Yellow",/sets/841-1/Baseplates-Green-and-Yellow,Basic,Basic,Supplementaries,1980.0,2.0,0.0,,,,,,,,,Normal,
842-1,"Baseplates, Red and Blue",/sets/842-1/Baseplates-Red-and-Blue,Basic,Basic,Supplementaries,1980.0,2.0,0.0,,,,,,,,,Normal,
843-1,"Baseplate, Grey",/sets/843-1/Baseplate-Grey,Basic,Basic,Supplementaries,1980.0,1.0,0.0,,,,,,5.0,2.0,Baseplate,Normal,
858-1,Auto Engines,/sets/858-1/Auto-Engines,Technical,Technic,,1980.0,242.0,0.0,,,,,51.0,4.5,2.0,,Normal,Box
1041-2,Educational Duplo Building Set,/sets/1041-2/Educational-Duplo-Building-Set,Educational,Dacta,,1980.0,68.0,0.0,,,36.5,,,,,,Normal,
1050-2,Universal set for boys and girls,/sets/1050-2/Universal-set-for-boys-and-girls,Educational,Dacta,,1980.0,,0.0,,,,,,,,,Normal,
1062-1,{Town Vehicles},/sets/1062-1/{Town-Vehicles},Educational,Dacta,,1980.0,172.0,6.0,,/minifigs/inset-1062-1,,,24.0,,,"Ambulance, Delivery Truck, Fire Truck, Pickup Truck, Police Car, Service Vehicle, Tow Truck",Normal,
1075-1,LEGO People Supplementary Set,/sets/1075-1/LEGO-People-Supplementary-Set,Educational,Dacta,,1980.0,304.0,0.0,,,14.5,,,,,Maxifig,Normal,
1076-2,LEGO Car and Truck Supplementary Set,/sets/1076-2/LEGO-Car-and-Truck-Supplementary-Set,Educational,Dacta,,1980.0,,0.0,,,14.5,,,,,,Normal,
1101-1,Replacement 4.5V Motor,/sets/1101-1/Replacement-4-5V-Motor,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,5.65,19.0,,,,Polybag,Normal,Polybag
1102-1,Four Motor Wheel Bushes,/sets/1102-1/Four-Motor-Wheel-Bushes,Miscellaneous,Service Packs,,1980.0,4.0,0.0,,,,1.0,,,,Polybag,Normal,Polybag
1103-1,Battery Box,/sets/1103-1/Battery-Box,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,,17.0,8.0,,,Polybag,Normal,Polybag
1104-1,Two Connector Leads,/sets/1104-1/Two-Connector-Leads,Miscellaneous,Service Packs,,1980.0,2.0,0.0,,,,17.0,,,,Polybag,Normal,Polybag
1105-1,Two Rubber Crawler Tracks,/sets/1105-1/Two-Rubber-Crawler-Tracks,Miscellaneous,Service Packs,,1980.0,2.0,0.0,,,,1.0,,,,"Polybag, Tracked Vehicle",Normal,Polybag
1106-1,Battery Tender for Trains,/sets/1106-1/Battery-Tender-for-Trains,Miscellaneous,Service Packs,Trains,1980.0,2.0,0.0,,,,,18.0,,,"Electric, Polybag, Train Accessory",Normal,Polybag
