set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
5002912-1,R2 D2 Key Light,/sets/5002912-1/R2-D2-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,"£9.99, 6.49€","New: Not known, Used: Not known",5.0,1review,,Gear,,
5002913-1,Superman Key Light,/sets/5002913-1/Superman-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,"£9.99, $11.99, 12.99€","New: Not known, Used: Not known",,,,Gear,,
5002914-1,THE LEGO MOVIE Emmet Key Light,/sets/5002914-1/THE-LEGO-MOVIE-Emmet-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,"£9.99, $11.99, 9.09€","New: Not known, Used: Not known",,,,Gear,,
5002915-1,Batman Key Light,/sets/5002915-1/Batman-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,"£9.99, 12.99€","New: Not known, Used: Not known",,,,Gear,,
5002916-1,The LEGO Movie Unikitty Key Light,/sets/5002916-1/The-LEGO-Movie-Unikitty-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,"£9.99, $13.99, 9.09€","New: Not known, Used: Not known",,,,Gear,,
5002917-1,Star Wars Yoda Desk Lamp,/sets/5002917-1/Star-Wars-Yoda-Desk-Lamp,Miscellaneous,Gear,Lights,2014,,0,,,"£34.99, 19.99€","New: Not known, Used: Not known",,,,Gear,,
5003022-1,Bad Cop Alarm Clock,/sets/5003022-1/Bad-Cop-Alarm-Clock,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,"£24.99, $29.99","New: Not known, Used: Not known",,,Police,Gear,,
5003023-1,Bad Cop Link Watch,/sets/5003023-1/Bad-Cop-Link-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,"£19.99, $24.99, 17.49€","New: Not known, Used: Not known",,,Police,Gear,,
5003024-1,Lucy Wyldstyle Link Watch,/sets/5003024-1/Lucy-Wyldstyle-Link-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,"£19.99, $24.99, 17.49€","New: Not known, Used: Not known",,,,Gear,,
5003025-1,Emmet Link Watch,/sets/5003025-1/Emmet-Link-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,"£19.99, $24.99, 17.49€","New: Not known, Used: Not known",,,,Gear,,
5003026-1,Lucy Wyldstyle Alarm Clock,/sets/5003026-1/Lucy-Wyldstyle-Alarm-Clock,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,"£24.99, $29.99, 20.99€","New: Not known, Used: Not known",,,,Gear,,
5003027-1,Emmet Alarm Clock,/sets/5003027-1/Emmet-Alarm-Clock,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,"£24.99, $29.99, 20.99€","New: Not known, Used: Not known",3.0,1review,,Gear,,
5003097-1,Friends Collection 1,/sets/5003097-1/Friends-Collection-1,Girls,Friends,Product Collection,2014,412,0,,,$57.97,"New: Not known, Used: Not known",,,,Collection,,Contains 41006-1 41013-1 850781-1 
5003257-1,Gorzan Kids Minifigure Link Watch,/sets/5003257-1/Gorzan-Kids-Minifigure-Link-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$24.99,"New: Not known, Used: Not known",,,Legends Of Chima,Gear,,
5003258-1,Worriz Kids Minifigure Link Watch,/sets/5003258-1/Worriz-Kids-Minifigure-Link-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$24.99,"New: Not known, Used: Not known",,,Legends Of Chima,Gear,,
5003544-1,The LEGO Movie Video Game,/sets/5003544-1/The-LEGO-Movie-Video-Game,Miscellaneous,Gear,Video Games/3DS,2014,,0,,,$29.99,"New: Not known, Used: Not known",,,,Gear,,
5003545-1,The LEGO Movie Video Game,/sets/5003545-1/The-LEGO-Movie-Video-Game,Miscellaneous,Gear,Video Games/PS4,2014,,0,,,$59.99,"New: Not known, Used: Not known",,,,Gear,,
5003547-1,The LEGO Movie Video Game,/sets/5003547-1/The-LEGO-Movie-Video-Game,Miscellaneous,Gear,Video Games/Wii U,2014,,0,,,$49.99,"New: Not known, Used: Not known",,,,Gear,,
5003555-1,The LEGO Movie Video Game,/sets/5003555-1/The-LEGO-Movie-Video-Game,Miscellaneous,Gear,Video Games/PS Vita,2014,,0,,,$29.99,"New: Not known, Used: Not known",,,,Gear,,
5003556-1,The LEGO Movie Video Game,/sets/5003556-1/The-LEGO-Movie-Video-Game,Miscellaneous,Gear,Video Games/Xbox 360,2014,,0,,,$49.99,"New: Not known, Used: Not known",5.0,1review,,Gear,,
5003557-1,The LEGO Movie Video Game,/sets/5003557-1/The-LEGO-Movie-Video-Game,Miscellaneous,Gear,Video Games/PS3,2014,,0,,,$49.99,"New: Not known, Used: Not known",2.0,2,,Gear,,
5003559-1,THE LEGO MOVIE Xbox One Video Game,/sets/5003559-1/THE-LEGO-MOVIE-Xbox-One-Video-Game,Miscellaneous,Gear,Video Games/Xbox One,2014,,0,,,$59.99,"New: Not known, Used: Not known",,,,Gear,,
5003561-1,Legends of Chima Lunch Set,/sets/5003561-1/Legends-of-Chima-Lunch-Set,Miscellaneous,Gear,Housewares,2014,,0,,,$14.99,"New: Not known, Used: Not known",,,,Gear,,
5003562-1,Legends of Chima Sorting System,/sets/5003562-1/Legends-of-Chima-Sorting-System,Miscellaneous,Gear,Storage,2014,,0,,,$39.99,"New: Not known, Used: Not known",,,"Legends Of Chima, Storage",Gear,,
5003563-1,Friends Lunch Set,/sets/5003563-1/Friends-Lunch-Set,Miscellaneous,Gear,Housewares,2014,,0,,,$14.99,"New: Not known, Used: Not known",,,,Gear,,
5003565-1,1 stud Blue Storage Brick,/sets/5003565-1/1-stud-Blue-Storage-Brick,Miscellaneous,Gear,Storage,2014,,0,,,£9.99,"New: Not known, Used: Not known",,,Storage,Gear,,
5003566-1,1 stud Red Storage Brick,/sets/5003566-1/1-stud-Red-Storage-Brick,Miscellaneous,Gear,Storage,2014,,0,,,"£9.99, 6.99€","New: Not known, Used: Not known",,,Storage,Gear,,
5003568-1,2 stud Blue Storage Brick,/sets/5003568-1/2-stud-Blue-Storage-Brick,Miscellaneous,Gear,Storage,2014,,0,,,£11.99,"New: Not known, Used: Not known",,,Storage,Gear,,
5003569-1,2 stud Red Storage Brick,/sets/5003569-1/2-stud-Red-Storage-Brick,Miscellaneous,Gear,Storage,2014,,0,,,"£11.99, 12.99€","New: Not known, Used: Not known",,,Storage,Gear,,
5003570-1,2 stud Yellow Storage Brick,/sets/5003570-1/2-stud-Yellow-Storage-Brick,Miscellaneous,Gear,Storage,2014,,0,,,"£11.99, 12.99€","New: Not known, Used: Not known",,,Storage,Gear,,
5003574-1,4 stud Blue Storage Brick,/sets/5003574-1/4-stud-Blue-Storage-Brick,Miscellaneous,Gear,Storage,2014,,0,,,£17.99,"New: Not known, Used: Not known",,,Storage,Gear,,
5003575-1,4 stud Red Storage Brick,/sets/5003575-1/4-stud-Red-Storage-Brick,Miscellaneous,Gear,Storage,2014,,0,,,"£17.99, 19.99€","New: Not known, Used: Not known",,,Storage,Gear,,
5003576-1,4 stud Yellow Storage Brick,/sets/5003576-1/4-stud-Yellow-Storage-Brick,Miscellaneous,Gear,Storage,2014,,0,,,"£17.99, 19.99€","New: Not known, Used: Not known",,,Storage,Gear,,
5003578-1,Legends of Chima The Lion the Crocodile and the Power of CHI!,/sets/5003578-1/Legends-of-Chima-The-Lion-the-Crocodile-and-the-Power-of-CHI!,Miscellaneous,Gear,Digital media,2014,,0,,,$19.99,"New: Not known, Used: Not known",,,,Gear,,
5003579-1,Batman Head Lamp,/sets/5003579-1/Batman-Head-Lamp,Miscellaneous,Gear,Lights,2014,,0,,,$17.99,"New: Not known, Used: Not known",,,,Gear,,
5003580-1,Catwoman Key Light,/sets/5003580-1/Catwoman-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,$11.99,"New: Not known, Used: Not known",,,,Gear,,
5003582-1,Superman Head Lamp,/sets/5003582-1/Superman-Head-Lamp,Miscellaneous,Gear,Lights,2014,,0,,,$17.99,"New: Not known, Used: Not known",,,,Gear,,
5003583-1, Darth Vader Head Lamp,/sets/5003583-1/Darth-Vader-Head-Lamp,Miscellaneous,Gear,Lights,2014,,0,,,$17.99,"New: Not known, Used: Not known",,,,Gear,,
5003584-1,Bad Cop Key Light,/sets/5003584-1/Bad-Cop-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,$11.99,"New: Not known, Used: Not known",,,Police,Gear,,
5003586-1,THE LEGO MOVIE President Business Key Light,/sets/5003586-1/THE-LEGO-MOVIE-President-Business-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,$11.99,"New: Not known, Used: Not known",,,,Gear,,
5004047-1,The LEGO Movie Nintendo 3DS Video Game,/sets/5004047-1/The-LEGO-Movie-Nintendo-3DS-Video-Game,Miscellaneous,Gear,Video Games/3DS,2014,,0,,,£34.99,"New: Not known, Used: Not known",,,,Gear,,
5004048-1,The LEGO Movie PS4 Video Game,/sets/5004048-1/The-LEGO-Movie-PS4-Video-Game,Miscellaneous,Gear,Video Games/PS4,2014,,0,,,£49.99,"New: Not known, Used: Not known",,,,Gear,,
5004049-1,The LEGO Movie Video Game PC,/sets/5004049-1/The-LEGO-Movie-Video-Game-PC,Miscellaneous,Gear,Video Games/PC,2014,,0,,,£24.99,"New: Not known, Used: Not known",,,,Gear,,
5004050-1,The LEGO Movie Nintendo Wii U Video Game,/sets/5004050-1/The-LEGO-Movie-Nintendo-Wii-U-Video-Game,Miscellaneous,Gear,Video Games/Wii U,2014,,0,,,£39.99,"New: Not known, Used: Not known",,,,Gear,,
5004051-1,The LEGO Movie PS Vita Video Game,/sets/5004051-1/The-LEGO-Movie-PS-Vita-Video-Game,Miscellaneous,Gear,Video Games/PS Vita,2014,,0,,,£34.99,"New: Not known, Used: Not known",,,,Gear,,
5004052-1,The LEGO Movie Xbox One Video Game,/sets/5004052-1/The-LEGO-Movie-Xbox-One-Video-Game,Miscellaneous,Gear,Video Games/Xbox One,2014,,0,,,£49.99,"New: Not known, Used: Not known",,,,Gear,,
5004053-1,The LEGO Movie PS3 Video Game,/sets/5004053-1/The-LEGO-Movie-PS3-Video-Game,Miscellaneous,Gear,Video Games/PS3,2014,,0,,,£39.99,"New: Not known, Used: Not known",,,,Gear,,
5004054-1,The LEGO Movie Xbox 360 Video Game,/sets/5004054-1/The-LEGO-Movie-Xbox-360-Video-Game,Miscellaneous,Gear,Video Games/Xbox 360,2014,,0,,,£39.99,"New: Not known, Used: Not known",,,,Gear,,
5004064-1,Batman Minifigure Link Watch,/sets/5004064-1/Batman-Minifigure-Link-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$24.99,"New: Not known, Used: Not known",,,Dc Comics Super Heroes,Gear,,
5004065-1,Superman Minifigure Link Watch,/sets/5004065-1/Superman-Minifigure-Link-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$24.99,"New: Not known, Used: Not known",,,Dc Comics Super Heroes,Gear,,
5004066-1,The LEGO Movie The Original Motion Picture Soundtrack,/sets/5004066-1/The-LEGO-Movie-The-Original-Motion-Picture-Soundtrack,Miscellaneous,Gear,Digital media,2014,,0,,,$11.99,"New: Not known, Used: Not known",,,"Musical, The Lego Movie",Gear,,
5004067-1,The LEGO Movie Lunch Set,/sets/5004067-1/The-LEGO-Movie-Lunch-Set,Miscellaneous,Gear,Housewares,2014,,0,,,$14.99,"New: Not known, Used: Not known",,,,Gear,,
5004076-1,2014 Target Minifigure Gift Set,/sets/5004076-1/2014-Target-Minifigure-Gift-Set,Miscellaneous,Promotional,Target,2014,30,4,,/minifigs/inset-5004076-1,$14.99,"New: $31, Used: Not known",5.0,2,"Lavertus, Lloyd Garmadon, Superboy, City, Clamshell Box, Dc Comics Super Heroes, Fire Chi, Fire Vs Ice, Justice League, Legends Of Chima, Lion Tribe, Minifigure Pack, Ninja, Ninjago, Ninjago Ninjas, Police",Extended,Box,Available with qualifying purchase only.
5004081-1,Plastic Man,/sets/5004081-1/Plastic-Man,Licensed,DC Comics Super Heroes,Justice League,2014,4,1,,/minifigs/inset-5004081-1,,"New: $12, Used: $12",5.0,1review,"Plastic Man, Justice League, Polybag, Video Game Exclusive",Extended,Polybag,Free with pre-orders of LEGO Batman 3: Beyond Gotham.
5004115-1,Brick Black Adult Watch,/sets/5004115-1/Brick-Black-Adult-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$99.99,"New: Not known, Used: Not known",,,,Gear,,
5004116-1,Friends Stephanie Watch with Mini Doll,/sets/5004116-1/Friends-Stephanie-Watch-with-Mini-Doll,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,"£19.99, $24.99, 24.99€","New: Not known, Used: Not known",,,,Gear,,
5004117-1,Multi-stud Red Adult Tachymeter Watch,/sets/5004117-1/Multi-stud-Red-Adult-Tachymeter-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$174.99,"New: Not known, Used: Not known",,,,Gear,,
5004118-1,LEGO NINJAGO Kai Minifigure Clock,/sets/5004118-1/LEGO-NINJAGO-Kai-Minifigure-Clock,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$29.99,"New: Not known , Used: Not known",,,"Fire, Ninja, Ninjago, Ninjago Ninjas",Gear,,
5004119-1,Brick White Adult Watch,/sets/5004119-1/Brick-White-Adult-Watch,Miscellaneous,Gear,Watches/Clocks ,2014,,0,,,$99.99,"New: Not known, Used: Not known",,,,Gear,,
5004120-1,Star Wars The Yoda Chronicles,/sets/5004120-1/Star-Wars-The-Yoda-Chronicles,Miscellaneous,Gear,Digital media,2014,,0,,,$14.99,"New: Not known, Used: Not known",,,,Gear,,
5004127-1,Kai Minifigure Link Watch,/sets/5004127-1/Kai-Minifigure-Link-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,"£19.99, $24.99","New: Not known, Used: Not known",,,"Fire, Ninja, Ninjago, Ninjago Ninjas",Gear,,
5004128-1,Happiness Yellow Adult Watch,/sets/5004128-1/Happiness-Yellow-Adult-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$94.99,"New: Not known, Used: Not known",,,,Gear,,
5004129-1,LEGO NINJAGO Zane Minifigure Clock,/sets/5004129-1/LEGO-NINJAGO-Zane-Minifigure-Clock,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$29.99,"New: Not known, Used: Not known",,,"Ice, Nindroids, Ninja, Ninjago, Ninjago Ninjas",Gear,,
5004130-1,Friends Olivia Watch with Mini Doll,/sets/5004130-1/Friends-Olivia-Watch-with-Mini-Doll,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,"£19.99, $24.99, 24.99€","New: Not known, Used: Not known",,,,Gear,,
5004131-1,Zane Minifigure Link Watch,/sets/5004131-1/Zane-Minifigure-Link-Watch,Miscellaneous,Gear,Watches/Clocks,2014,,0,,,$24.99,"New: Not known, Used: Not known",,,"Ice, Nindroids, Ninja, Ninjago, Ninjago Ninjas",Gear,,
5004181-1,Angry Kitty Key Light,/sets/5004181-1/Angry-Kitty-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,£9.99,"New: Not known, Used: Not known",,,,Gear,,
5004187-1,The Flash Key Light,/sets/5004187-1/The-Flash-Key-Light,Miscellaneous,Gear,Lights,2014,,0,,,£9.99,"New: Not known, Used: Not known",,,,Gear,Box,
5004202-1,The Hobbit Nintendo 3DS Video Game,/sets/5004202-1/The-Hobbit-Nintendo-3DS-Video-Game,Miscellaneous,Gear,Video Games/3DS,2014,,0,,,$29.99,"New: Not known, Used: Not known",,,,Gear,,
5004204-1,The Hobbit PS3 Video Game,/sets/5004204-1/The-Hobbit-PS3-Video-Game,Miscellaneous,Gear,Video Games/PS3,2014,,0,,,$49.99,"New: Not known, Used: Not known",3.0,1review,,Gear,,
5004205-1,The Hobbit PS4 Video Game,/sets/5004205-1/The-Hobbit-PS4-Video-Game,Miscellaneous,Gear,Video Games/PS4,2014,,0,,,$59.99,"New: Not known, Used: Not known",,,,Gear,,
5004206-1,The Hobbit PS Vita Video Game,/sets/5004206-1/The-Hobbit-PS-Vita-Video-Game,Miscellaneous,Gear,Video Games/PS Vita,2014,,0,,,$29.99,"New: Not known, Used: Not known",,,,Gear,,
5004207-1,The Hobbit Nintendo Wii U Video Game,/sets/5004207-1/The-Hobbit-Nintendo-Wii-U-Video-Game,Miscellaneous,Gear,Video Games/Wii U,2014,,0,,,$49.99,"New: Not known, Used: Not known",,,,Gear,,
